date,fips,mmwr_week,recip_county,recip_state,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,series_complete_yes,series_complete_pop_pct,series_complete_12plus,series_complete_12pluspop_pct,series_complete_18plus,series_complete_18pluspop_pct,series_complete_65plus,series_complete_65pluspop_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,series_complete_12pluspop_pct_ur_equity,series_complete_18pluspop_pct_ur_equity,series_complete_65pluspop_pct_ur_equity,census2019,census2019_12pluspop,census2019_18pluspop
2021-07-01T00:00:00.000,13241,26,Rabun County,GA,53.1,3721,21.7,3721,24.2,3604,25.2,1785,37,3473,20.3,3473,22.6,3390,23.7,1752,36.4,C,9,9,9,10,Non-metro,5,5,5,6,17137,15367,14298
2021-07-01T00:00:00.000,48003,26,Andrews County,TX,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,B,,,,,Non-metro,,,,,18705,14795,12902
2021-07-01T00:00:00.000,17161,26,Rock Island County,IL,97.7,78256,55.2,78093,64.6,74439,67.5,25224,89.9,57844,40.8,57769,47.8,55934,50.7,20283,72.3,C,11,11,12,12,Metro,3,3,4,4,141879,120821,110321
2021-07-01T00:00:00.000,40107,26,Okfuskee County,OK,93.5,4520,37.7,4519,44.3,4413,47.7,1662,77.2,4011,33.4,4011,39.3,3932,42.5,1611,74.9,D,14,14,15,16,Non-metro,6,6,7,8,11993,10209,9255
2021-07-01T00:00:00.000,36035,26,Fulton County,NY,97.5,23801,44.6,23798,51.2,22912,53.7,7851,73,22422,42,22422,48.3,21690,50.9,7534,70.1,C,11,11,12,12,Non-metro,7,7,8,8,53383,46437,42633
2021-07-01T00:00:00.000,30039,26,Granite County,MT,95.6,1107,32.8,1107,36.0,1087,37.7,504,47.2,996,29.5,996,32.4,985,34.1,476,44.6,A,1,2,2,2,Non-metro,5,6,6,6,3379,3071,2886
2021-07-01T00:00:00.000,50003,26,Bennington County,VT,73.6,13856,39.1,13856,44.3,12981,45,4674,56.4,12271,34.6,12271,39.2,11537,40,4301,51.9,B,6,6,7,7,Non-metro,6,6,7,7,35470,31308,28862
2021-07-01T00:00:00.000,36101,26,Steuben County,NY,97.5,46872,49.1,46869,57.0,44870,59.7,15293,79.6,43443,45.5,43443,52.8,41845,55.7,14350,74.7,B,7,8,8,8,Non-metro,7,8,8,8,95379,82291,75107
2021-07-01T00:00:00.000,21135,26,Lewis County,KY,94.2,3407,25.7,3407,29.9,3332,32.1,1267,51.6,3137,23.6,3137,27.5,3080,29.7,1194,48.6,C,9,9,9,10,Non-metro,5,5,5,6,13275,11400,10366
2021-07-01T00:00:00.000,39059,26,Guernsey County,OH,98.5,11176,28.7,11176,33.6,10980,36.2,4795,61.5,10992,28.3,10991,33.0,10832,35.7,4783,61.3,C,9,10,10,11,Non-metro,5,6,6,7,38875,33292,30310
