"Recip_County","FIPS","year","total_vacc"
"Abbeville County","45001",2020,0
"Abbeville County","45001",2021,9333
"Abbeville County","45001",2022,10222
"Acadia Parish","22001",2020,0
"Acadia Parish","22001",2021,31412
"Acadia Parish","22001",2022,33539
"Accomack County","51001",2020,0
"Accomack County","51001",2021,22201
"Accomack County","51001",2022,24667
"Ada County","16001",2020,0
"Ada County","16001",2021,262733
"Ada County","16001",2022,323549
"Adair County","19001",2020,0
"Adair County","19001",2021,3405
"Adair County","19001",2022,3612
"Adair County","21001",2020,0
"Adair County","21001",2021,7141
"Adair County","21001",2022,7762
"Adair County","29001",2020,0
"Adair County","29001",2021,10970
"Adair County","29001",2022,12076
"Adair County","40001",2020,0
"Adair County","40001",2021,7426
"Adair County","40001",2022,8514
"Adams County","08001",2020,0
"Adams County","08001",2021,333240
"Adams County","08001",2022,368540
"Adams County","16003",2020,0
"Adams County","16003",2021,1737
"Adams County","16003",2022,1946
"Adams County","17001",2020,0
"Adams County","17001",2021,33371
"Adams County","17001",2022,34974
"Adams County","18001",2020,0
"Adams County","18001",2021,11406
"Adams County","18001",2022,12359
"Adams County","19003",2020,0
"Adams County","19003",2021,1950
"Adams County","19003",2022,2071
"Adams County","28001",2020,0
"Adams County","28001",2021,15783
"Adams County","28001",2022,17512
"Adams County","31001",2020,0
"Adams County","31001",2021,12636
"Adams County","31001",2022,13680
"Adams County","38001",2020,0
"Adams County","38001",2021,1053
"Adams County","38001",2022,1105
"Adams County","39001",2020,0
"Adams County","39001",2021,9276
"Adams County","39001",2022,10065
"Adams County","42001",2020,0
"Adams County","42001",2021,53589
"Adams County","42001",2022,60144
"Adams County","53001",2020,0
"Adams County","53001",2021,11094
"Adams County","53001",2022,12405
"Adams County","55001",2020,0
"Adams County","55001",2021,10978
"Adams County","55001",2022,11866
"Addison County","50001",2020,0
"Addison County","50001",2021,25234
"Addison County","50001",2022,27512
"Adjuntas Municipio","72001",2020,0
"Adjuntas Municipio","72001",2021,12241
"Adjuntas Municipio","72001",2022,13749
"Aguada Municipio","72003",2020,0
"Aguada Municipio","72003",2021,25950
"Aguada Municipio","72003",2022,29450
"Aguadilla Municipio","72005",2020,0
"Aguadilla Municipio","72005",2021,37871
"Aguadilla Municipio","72005",2022,42303
"Aguas Buenas Municipio","72007",2020,0
"Aguas Buenas Municipio","72007",2021,17341
"Aguas Buenas Municipio","72007",2022,20299
"Aibonito Municipio","72009",2020,0
"Aibonito Municipio","72009",2021,18913
"Aibonito Municipio","72009",2022,20788
"Aiken County","45003",2020,0
"Aiken County","45003",2021,76599
"Aiken County","45003",2022,83044
"Aitkin County","27001",2020,0
"Aitkin County","27001",2021,9108
"Aitkin County","27001",2022,9640
"Alachua County","12001",2020,275
"Alachua County","12001",2021,171486
"Alachua County","12001",2022,185329
"Alamance County","37001",2020,0
"Alamance County","37001",2021,94522
"Alamance County","37001",2022,110352
"Alameda County","06001",2020,0
"Alameda County","06001",2021,1297368
"Alameda County","06001",2022,1429785
"Alamosa County","08003",2020,0
"Alamosa County","08003",2021,8756
"Alamosa County","08003",2022,9459
"Albany County","36001",2020,0
"Albany County","36001",2021,219351
"Albany County","36001",2022,237032
"Albany County","56001",2020,0
"Albany County","56001",2021,20167
"Albany County","56001",2022,22739
"Albemarle County","51003",2020,0
"Albemarle County","51003",2021,68612
"Albemarle County","51003",2022,73779
"Alcona County","26001",2020,0
"Alcona County","26001",2021,5890
"Alcona County","26001",2022,6196
"Alcorn County","28003",2020,0
"Alcorn County","28003",2021,13704
"Alcorn County","28003",2022,15005
"Aleutians East Borough","02013",2020,0
"Aleutians East Borough","02013",2021,2379
"Aleutians East Borough","02013",2022,2498
"Aleutians West Census Area","02016",2020,0
"Aleutians West Census Area","02016",2021,3319
"Aleutians West Census Area","02016",2022,3617
"Alexander County","17003",2020,0
"Alexander County","17003",2021,1661
"Alexander County","17003",2022,2064
"Alexander County","37003",2020,0
"Alexander County","37003",2021,16232
"Alexander County","37003",2022,18385
"Alexandria city","51510",2020,0
"Alexandria city","51510",2021,94631
"Alexandria city","51510",2022,107196
"Alfalfa County","40003",2020,0
"Alfalfa County","40003",2021,2491
"Alfalfa County","40003",2022,2665
"Alger County","26003",2020,0
"Alger County","26003",2021,5531
"Alger County","26003",2022,5831
"Allamakee County","19005",2020,0
"Allamakee County","19005",2021,7015
"Allamakee County","19005",2022,7665
"Allegan County","26005",2020,0
"Allegan County","26005",2021,58864
"Allegan County","26005",2022,63369
"Allegany County","24001",2020,0
"Allegany County","24001",2021,37737
"Allegany County","24001",2022,40437
"Allegany County","36003",2020,0
