"county","year","total_cases","total_deaths"
"Abbeville",2020,1275,25
"Abbeville",2021,4282,54
"Abbeville",2022,6655,69
"Acadia",2020,5082,153
"Acadia",2021,11132,256
"Acadia",2022,15906,294
"Accomack",2020,1709,27
"Accomack",2021,4545,83
"Accomack",2022,7054,106
"Ada",2020,38417,355
"Ada",2021,89225,865
"Ada",2022,135259,1022
"Adair",2020,5538,87
"Adair",2021,14868,251
"Adair",2022,21613,295
"Adams",2020,63818,884
"Adams",2021,159320,2071
"Adams",2022,225220,2597
"Addison",2020,269,4
"Addison",2021,2548,10
"Addison",2022,5939,18
"Adjuntas",2020,400,0
"Adjuntas",2021,973,0
"Adjuntas",2022,2814,0
"Aguada",2020,906,0
"Aguada",2021,3334,0
"Aguada",2022,7628,0
"Aguadilla",2020,1231,0
"Aguadilla",2021,3955,0
"Aguadilla",2022,8584,0
"Aguas Buenas",2020,834,0
"Aguas Buenas",2021,2211,0
"Aguas Buenas",2022,4744,0
"Aibonito",2020,445,0
"Aibonito",2021,1711,0
"Aibonito",2022,4296,0
"Aiken",2020,9156,133
"Aiken",2021,28969,368
"Aiken",2022,41767,437
"Aitkin",2020,1023,32
"Aitkin",2021,2424,54
"Aitkin",2022,3049,62
"Alachua",2020,15866,129
"Alachua",2021,43279,539
"Alachua",2022,69008,665
"Alamance",2020,10397,117
"Alamance",2021,30450,376
"Alamance",2022,47756,488
"Alameda",2020,52496,657
"Alameda",2021,137131,1544
"Alameda",2022,284054,1868
"Alamosa",2020,948,24
"Alamosa",2021,3101,56
"Alamosa",2022,4560,62
"Albany",2020,15386,214
"Albany",2021,48756,482
"Albany",2022,73395,572
"Albemarle",2020,2837,31
"Albemarle",2021,9744,117
"Albemarle",2022,18671,163
"Alcona",2020,336,14
"Alcona",2021,1413,56
"Alcona",2022,1745,71
"Alcorn",2020,2235,40
"Alcorn",2021,6329,115
"Alcorn",2022,10080,160
"Aleutians East Borough",2020,38,0
"Aleutians East Borough",2021,452,3
"Aleutians East Borough",2022,1101,3
"Aleutians West Census Area",2020,197,0
"Aleutians West Census Area",2021,951,1
"Aleutians West Census Area",2022,1685,1
"Alexander",2020,3003,37
"Alexander",2021,8175,132
"Alexander",2022,11767,154
"Alexandria city",2020,7366,88
"Alexandria city",2021,18480,161
"Alexandria city",2022,32647,188
"Alfalfa",2020,932,4
"Alfalfa",2021,1425,10
"Alfalfa",2022,1716,15
"Alger",2020,446,2
"Alger",2021,1247,11
"Alger",2022,1880,13
"Allamakee",2020,1184,25
"Allamakee",2021,2320,57
"Allamakee",2022,2890,60
"Allegan",2020,5758,66
"Allegan",2021,20295,279
"Allegan",2022,27448,348
"Allegany",2020,7350,227
"Allegany",2021,18742,431
"Allegany",2022,26566,517
"Alleghany",2020,1421,24
"Alleghany",2021,4602,94
"Alleghany",2022,6345,114
"Allegheny",2020,54362,1036
"Allegheny",2021,179776,2725
"Allegheny",2022,271427,3323
"Allen",2020,40937,710
"Allen",2021,107962,1583
"Allen",2022,150819,1967
"Allendale",2020,511,9
"Allendale",2021,1408,21
"Allendale",2022,2093,24
"Alpena",2020,1142,26
"Alpena",2021,4545,114
"Alpena",2022,5809,139
"Alpine",2020,66,0
"Alpine",2021,113,0
"Alpine",2022,126,0
"Amador",2020,2492,24
"Amador",2021,5991,70
"Amador",2022,9242,86
"Amelia",2020,359,7
"Amelia",2021,1743,44
"Amelia",2022,2683,61
"Amherst",2020,1472,10
"Amherst",2021,4894,63
"Amherst",2022,7316,89
"Amite",2020,869,23
"Amite",2021,2199,58
"Amite",2022,3259,69
"Anasco",2020,678,0
"Anasco",2021,1960,0
"Anasco",2022,4474,0
"Anchorage",2020,22820,118
"Anchorage",2021,63352,419
"Anchorage",2022,105418,526
"Anderson",2020,24064,419
"Anderson",2021,68278,1372
"Anderson",2022,98697,1670
"Andrew",2020,1109,14
"Andrew",2021,3506,41
"Andrew",2022,4828,58
"Andrews",2020,1433,25
"Andrews",2021,3067,65
"Andrews",2022,3822,72
"Androscoggin",2020,2667,44
"Androscoggin",2021,15522,158
"Androscoggin",2022,23257,285
"Angelina",2020,5696,149
"Angelina",2021,14027,427
"Angelina",2022,15501,481
"Anne Arundel",2020,24828,367
"Anne Arundel",2021,64714,833
"Anne Arundel",2022,92830,1078
"Anoka",2020,28973,323
"Anoka",2021,71618,676
"Anoka",2022,100743,797
"Anson",2020,1407,26
"Anson",2021,4272,86
"Anson",2022,6567,101
"Antelope",2020,427,4
"Antelope",2021,851,10
"Antelope",2022,1081,14
"Antrim",2020,620,9
"Antrim",2021,3153,51
"Antrim",2022,4470,66
"Apache",2020,7594,244
"Apache",2021,16324,542
"Apache",2022,22540,614
"Appanoose",2020,976,36
"Appanoose",2021,2288,59
"Appanoose",2022,2927,68
"Appling",2020,1698,44
"Appling",2021,3607,108
"Appling",2022,4833,128
"Appomattox",2020,732,7
"Appomattox",2021,2727,38
"Appomattox",2022,3817,53
"Aransas",2020,737,23
"Aransas",2021,2697,67
"Aransas",2022,4177,86
"Arapahoe",2020,38791,595
"Arapahoe",2021,103551,1075
"Arapahoe",2022,158561,1284
"Archer",2020,562,6
"Archer",2021,1398,24
"Archer",2022,2213,28
"Archuleta",2020,487,0
"Archuleta",2021,2066,9
"Archuleta",2022,2926,16
"Arecibo",2020,2348,0
"Arecibo",2021,6401,0
"Arecibo",2022,15133,0
"Arenac",2020,597,24
"Arenac",2021,2358,51
"Arenac",2022,3267,67
"Arkansas",2020,1324,31
"Arkansas",2021,3695,65
"Arkansas",2022,5696,79
"Arlington",2020,8993,180
"Arlington",2021,26170,283
"Arlington",2022,46198,322
"Armstrong",2020,3617,75
"Armstrong",2021,12325,283
"Armstrong",2022,15952,352
"Aroostook",2020,617,8
"Aroostook",2021,7304,104
"Aroostook",2022,14393,166
"Arroyo",2020,315,0
"Arroyo",2021,822,0
"Arroyo",2022,2760,0
"Arthur",2020,18,0
"Arthur",2021,29,1
"Arthur",2022,31,1
"Ascension",2020,7849,117
"Ascension",2021,23642,250
"Ascension",2022,35030,293
"Ashe",2020,1212,27
"Ashe",2021,4121,58
"Ashe",2022,6471,78
"Ashland",2020,3790,53
"Ashland",2021,11647,191
"Ashland",2022,15473,254
"Ashley",2020,1291,21
"Ashley",2021,3393,55
"Ashley",2022,5115,66
"Ashtabula",2020,3829,66
"Ashtabula",2021,15510,309
"Ashtabula",2022,20537,431
"Asotin",2020,959,18
"Asotin",2021,3185,52
"Asotin",2022,4554,66
"Assumption",2020,1379,28
"Assumption",2021,3927,57
"Assumption",2022,5575,70
"Atascosa",2020,2938,68
"Atascosa",2021,8960,211
"Atascosa",2022,13647,231
"Atchison",2020,1528,15
"Atchison",2021,3953,45
"Atchison",2022,5710,57
"Athens",2020,3101,9
"Athens",2021,9068,104
"Athens",2022,14852,142
"Atkinson",2020,785,9
"Atkinson",2021,1627,39
"Atkinson",2022,2200,50
"Atlantic",2020,12346,370
"Atlantic",2021,49375,819
"Atlantic",2022,70482,997
"Atoka",2020,1307,3
"Atoka",2021,2827,40
