"FIPStxt","State","Area_Name","CENSUS_2020_POP","POP_ESTIMATE_2020","POP_ESTIMATE_2021","POP_ESTIMATE_2022","BIRTHS_2020","BIRTHS_2021","BIRTHS_2022","DEATHS_2020","DEATHS_2021","DEATHS_2022"
"00000","US","United States","331449281","331511512","332031554","333287557","894123","3582436","3688179","852024","3438423","3443099"
"01000","AL","Alabama","5024279","5031362","5049846","5074296","13867","57112","58280","15165","69056","66870"
"01001","AL","Autauga County","58805","58902","59210","59759","162","694","709","177","682","673"
"01003","AL","Baldwin County","231767","233219","239361","246435","560","2367","2411","593","3044","2909"
"01005","AL","Barbour County","25223","24960","24539","24706","60","276","277","93","383","372"
"01007","AL","Bibb County","22293","22183","22370","22005","56","244","248","55","318","321"
"01009","AL","Blount County","59134","59102","59085","59512","137","656","674","201","865","844"
"01011","AL","Bullock County","10357","10296","10280","10202","24","110","112","40","150","149"
"01013","AL","Butler County","19051","19031","18855","18650","47","219","222","88","331","317"
"01015","AL","Calhoun County","116441","116239","115677","115788","305","1276","1303","396","1868","1832"
"01017","AL","Chambers County","34772","34645","34446","34088","87","381","391","169","612","589"
"01019","AL","Cherokee County","24971","24972","25026","25302","62","239","248","124","476","471"
"01021","AL","Chilton County","45014","45051","45259","45884","147","546","562","144","666","641"
"01023","AL","Choctaw County","12665","12619","12549","12439","33","136","137","53","203","200"
"01025","AL","Clarke County","23087","22981","22715","22515","57","282","285","101","436","423"
"01027","AL","Clay County","14236","14211","14190","14198","33","153","156","39","257","244"
"01029","AL","Cleburne County","15056","15063","15148","15346","37","168","172","48","259","251"
"01031","AL","Coffee County","53465","53547","54171","54805","159","678","685","176","722","704"
"01033","AL","Colbert County","57227","57299","57619","58033","166","636","647","176","880","858"
"01035","AL","Conecuh County","11597","11553","11320","11206","29","123","122","45","234","228"
"01037","AL","Coosa County","10387","10341","10366","10166","27","89","89","29","192","184"
"01039","AL","Covington County","37570","37507","37542","37602","88","425","431","158","709","702"
"01041","AL","Crenshaw County","13194","13165","13056","13025","41","152","156","61","261","251"
"01043","AL","Cullman County","87866","88131","89618","90665","252","980","1005","254","1341","1273"
"01045","AL","Dale County","49326","49253","49412","49544","149","673","686","138","676","694"
"01047","AL","Dallas County","38462","38174","37565","36767","101","447","455","161","650","653"
"01049","AL","DeKalb County","71608","71648","71829","71998","188","801","819","222","1112","1081"
"01051","AL","Elmore County","87977","87853","88737","89563","213","903","925","247","1097","1048"
"01053","AL","Escambia County","36757","36680","36658","36666","93","427","440","134","640","636"
"01055","AL","Etowah County","103436","103447","103139","103088","289","1140","1162","365","1790","1763"
"01057","AL","Fayette County","16321","16330","16155","16118","42","175","179","53","286","295"
