"FIPS_Code","State","Area_Name","Unemployment_rate_2018","Civilian_labor_force_2019","Employed_2019","Unemployed_2019","Unemployment_rate_2019","Civilian_labor_force_2020","Employed_2020","Unemployed_2020","Unemployment_rate_2020","Civilian_labor_force_2021","Employed_2021","Unemployed_2021","Unemployment_rate_2021","Civilian_labor_force_2022","Employed_2022","Unemployed_2022","Unemployment_rate_2022","Median_Household_Income_2021","Med_HH_Income_Percent_of_State_Total_2021"
"00000","US","United States","3.9","163815888","157805898","6009990","3.7","161483724","148453335","13030389","8.1","162229903","153544980","8684923","5.4","164781642","158766998","6014644","3.7","69717",NA
"01000","AL","Alabama","3.9","2272935","2200437","72498","3.2","2269672","2124409","145263","6.4","2259349","2183330","76019","3.4","2286028","2226670","59358","2.6","53990","100"
"01001","AL","Autauga County, AL","3.6","26696","25927","769","2.9","26425","25023","1402","5.3000000000000007","26545","25809","736","2.8","26789","26181","608","2.2999999999999998","66444","123.1"
"01003","AL","Baldwin County, AL","3.6","98965","96069","2896","2.9","98979","92893","6086","6.1000000000000014","99953","97034","2919","2.9","102849","100432","2417","2.4","65658","121.6"
"01005","AL","Barbour County, AL","5.1000000000000014","8641","8294","347","4","8684","8017","667","7.7","8280","7821","459","5.5","8241","7906","335","4.1000000000000014","38649","71.600000000000009"
"01007","AL","Bibb County, AL","4","8777","8491","286","3.3","8717","8085","632","7.3000000000000007","8641","8347","294","3.4","8726","8507","219","2.5","48454","89.7"
"01009","AL","Blount County, AL","3.5","25592","24867","725","2.8","25136","24010","1126","4.5","25377","24779","598","2.4","25796","25222","574","2.2000000000000002","56894","105.4"
"01011","AL","Bullock County, AL","4.7","4864","4674","190","3.9","4880","4589","291","6","4637","4455","182","3.9","4554","4426","128","2.8","32027","59.3"
"01013","AL","Butler County, AL","4.7","9321","8958","363","3.9","9238","8357","881","9.5","8819","8367","452","5.1000000000000014","8804","8503","301","3.4","39442","73.100000000000009"
"01015","AL","Calhoun County, AL","4.6000000000000014","46828","45076","1752","3.7","47047","43434","3613","7.7","46368","44497","1871","4","46140","44741","1399","3","48166","89.2"
"01017","AL","Chambers County, AL","3.9","16000","15506","494","3.1","16102","14907","1195","7.4","15790","15220","570","3.6","15933","15523","410","2.6","45447","84.2"
"01019","AL","Cherokee County, AL","3.6","11911","11549","362","3","11682","11090","592","5.1000000000000014","11686","11390","296","2.5","11696","11422","274","2.2999999999999998","46365","85.9"
"01021","AL","Chilton County, AL","3.6","20155","19573","582","2.9","19951","18868","1083","5.4","20004","19443","561","2.8","20266","19806","460","2.2999999999999998","55142","102.1"
"01023","AL","Choctaw County, AL","5.5","4724","4491","233","4.9000000000000004","4700","4357","343","7.3000000000000007","4567","4370","197","4.3","4298","4133","165","3.8","40601","75.2"
"01025","AL","Clarke County, AL","7.4","7721","7253","468","6.1000000000000014","7898","7127","771","9.8000000000000007","7736","7286","450","5.8000000000000007","7694","7309","385","5","45447","84.2"
"01027","AL","Clay County, AL","3.8","6164","5970","194","3.1","6146","5874","272","4.4000000000000004","6048","5884","164","2.7","6130","5991","139","2.2999999999999998","47036","87.100000000000009"
"01029","AL","Cleburne County, AL","4.2","5865","5670","195","3.3","5857","5564","293","5","5913","5761","152","2.6","6141","5993","148","2.4","49769","92.2"
"01031","AL","Coffee County, AL","3.9","22086","21410","676","3.1","22025","20970","1055","4.8000000000000007","21624","21017","607","2.8","21597","21049","548","2.5","55052","102"
"01033","AL","Colbert County, AL","4.6000000000000014","24091","23137","954","4","23907","22186","1721","7.2","23609","22690","919","3.9","23842","23120","722","3","53341","98.800000000000011"
"01035","AL","Conecuh County, AL","5.2","4573","4382","191","4.2","4583","4220","363","7.9","4390","4182","208","4.7","4242","4092","150","3.5","35621","66"
"01037","AL","Coosa County, AL","4.1000000000000014","4577","4433","144","3.1","4431","4163","268","6","4371","4238","133","3","4459","4346","113","2.5","45954","85.100000000000009"
"01039","AL","Covington County, AL","4.6000000000000014","15796","15222","574","3.6","15352","14522","830","5.4","15233","14775","458","3","15152","14753","399","2.6","44188","81.800000000000011"
"01041","AL","Crenshaw County, AL","4","6537","6342","195","3","6375","5980","395","6.2","6131","5929","202","3.3","5977","5820","157","2.6","38037","70.5"
"01043","AL","Cullman County, AL","3.3","39146","38070","1076","2.7","38896","37049","1847","4.7","38931","38020","911","2.2999999999999998","39337","38525","812","2.1","55036","101.9"
"01045","AL","Dale County, AL","4.2","20929","20237","692","3.3","20944","19824","1120","5.3000000000000007","20974","20315","659","3.1","21052","20500","552","2.6","50086","92.800000000000011"
"01047","AL","Dallas County, AL","6.5","14907","14048","859","5.8000000000000007","14834","13111","1723","11.6","13965","12977","988","7.1000000000000014","13749","13055","694","5","33159","61.400000000000013"
"01049","AL","DeKalb County, AL","3.8","31641","30703","938","3","31314","29766","1548","4.9000000000000004","31002","30215","787","2.5","31146","30416","730","2.2999999999999998","45062","83.5"
"01051","AL","Elmore County, AL","3.4","37822","36776","1046","2.8","37690","35711","1979","5.3000000000000007","37873","36860","1013","2.7","38234","37395","839","2.2000000000000002","63147","117"
"01053","AL","Escambia County, AL","4.5","14851","14297","554","3.7","14612","13633","979","6.7","14142","13576","566","4","14231","13789","442","3.1","40506","75"
"01055","AL","Etowah County, AL","4.1000000000000014","43148","41614","1534","3.6","41430","37969","3461","8.4","39439","37863","1576","4","39274","38085","1189","3","46308","85.800000000000011"
"01057","AL","Fayette County, AL","4.1000000000000014","6687","6467","220","3.3","6670","6304","366","5.5","6642","6439","203","3.1","6591","6411","180","2.7","46122","85.4"
"01059","AL","Franklin County, AL","3.7","14822","14388","434","2.9","14579","13865","714","4.9000000000000004","14352","13990","362","2.5","14565","14223","342","2.2999999999999998","45440","84.2"
"01061","AL","Geneva County, AL","3.9","11105","10758","347","3.1","11038","10537","501","4.5","11069","10762","307","2.8","11267","10997","270","2.4","43206","80"
"01063","AL","Greene County, AL","6.6000000000000014","2939","2766","173","5.9","3093","2732","361","11.7","2900","2711","189","6.5","2740","2620","120","4.4000000000000004","30225","56"
"01065","AL","Hale County, AL","5.1000000000000014","6175","5917","258","4.2","6165","5537","628","10.199999999999999","5913","5589","324","5.5","5961","5729","232","3.9","41995","77.800000000000011"
"01067","AL","Henry County, AL","4.4000000000000004","6992","6726","266","3.8","6914","6545","369","5.3000000000000007","6930","6711","219","3.2","7053","6862","191","2.7","56389","104.4"
"01069","AL","Houston County, AL","4","47035","45535","1500","3.2","47252","44465","2787","5.9","47193","45617","1576","3.3","48000","46756","1244","2.6","48701","90.2"
"01071","AL","Jackson County, AL","4.1000000000000014","23703","22873","830","3.5","23106","21760","1346","5.8000000000000007","23072","22415","657","2.8","23185","22602","583","2.5","46998","87"
"01073","AL","Jefferson County, AL","3.7","321835","312050","9785","3","320567","298906","21661","6.8000000000000007","320324","308963","11361","3.5","323290","314943","8347","2.6","55210","102.3"
"01075","AL","Lamar County, AL","3.8","5895","5702","193","3.3","5791","5482","309","5.3000000000000007","5708","5538","170","3","5724","5569","155","2.7","44265","82"
"01077","AL","Lauderdale County, AL","4.2","43132","41634","1498","3.5","42678","40088","2590","6.1000000000000014","42365","41045","1320","3.1","42919","41788","1131","2.6","52222","96.7"
"01079","AL","Lawrence County, AL","4.1000000000000014","14458","13976","482","3.3","14539","13757","782","5.4","14503","14085","418","2.9","14737","14382","355","2.4","55555","102.9"
"01081","AL","Lee County, AL","3.6","77578","75334","2244","2.9","76586","72200","4386","5.7","77205","75043","2162","2.8","79466","77595","1871","2.4","54188","100.4"
"01083","AL","Limestone County, AL","3.5","44967","43697","1270","2.8","45930","43793","2137","4.7","46983","45845","1138","2.4","48335","47322","1013","2.1","69207","128.19999999999999"
"01085","AL","Lowndes County, AL","7.3000000000000007","3560","3343","217","6.1000000000000014","3722","3187","535","14.4","3586","3275","311","8.7000000000000011","3506","3324","182","5.2","36993","68.5"
"01087","AL","Macon County, AL","5.4","7986","7629","357","4.5","8186","7338","848","10.4","7937","7478","459","5.8000000000000007","7862","7563","299","3.8","35354","65.5"
"01089","AL","Madison County, AL","3.5","187839","182702","5137","2.7","189778","180147","9631","5.1000000000000014","193877","188817","5060","2.6","199231","194989","4242","2.1","78386","145.19999999999999"
"01091","AL","Marengo County, AL","4.9000000000000004","7805","7515","290","3.7","7867","7330","537","6.8000000000000007","7643","7323","320","4.2","7611","7351","260","3.4","42048","77.900000000000006"
"01093","AL","Marion County, AL","4.1000000000000014","12955","12475","480","3.7","13300","12564","736","5.5","13488","13111","377","2.8","13808","13464","344","2.5","44636","82.7"
"01095","AL","Marshall County, AL","3.4","44748","43576","1172","2.6","44822","42766","2056","4.6000000000000014","44898","43831","1067","2.4","45464","44531","933","2.1","50858","94.2"
"01097","AL","Mobile County, AL","4.7","191819","184282","7537","3.9","195131","178433","16698","8.6","190714","181908","8806","4.6000000000000014","192312","186073","6239","3.2","49848","92.300000000000011"
"01099","AL","Monroe County, AL","6.1000000000000014","7445","7066","379","5.1000000000000014","7627","6954","673","8.8000000000000007","7368","6963","405","5.5","7300","7001","299","4.1000000000000014","40997","75.900000000000006"
"01101","AL","Montgomery County, AL","4","107771","104251","3520","3.3","108365","99200","9165","8.5","107330","102321","5009","4.7","107183","103886","3297","3.1","50645","93.800000000000011"
"01103","AL","Morgan County, AL","3.5","59205","57589","1616","2.7","59785","56858","2927","4.9000000000000004","59785","58258","1527","2.6","60820","59548","1272","2.1","56340","104.4"
"01105","AL","Perry County, AL","6.5","3438","3249","189","5.5","3452","3043","409","11.8","3206","2953","253","7.9","3083","2921","162","5.3000000000000007","31522","58.400000000000013"
"01107","AL","Pickens County, AL","4.6000000000000014","8032","7734","298","3.7","7692","7139","553","7.2","7545","7242","303","4","7681","7431","250","3.3","43926","81.400000000000006"
"01109","AL","Pike County, AL","4.5","15577","15037","540","3.5","15851","14999","852","5.4","16084","15575","509","3.2","16115","15674","441","2.7","38945","72.100000000000009"
"01111","AL","Randolph County, AL","4","9648","9335","313","3.2","9578","9077","501","5.2","9490","9232","258","2.7","9692","9454","238","2.5","45889","85"
"01113","AL","Russell County, AL","4","24086","23330","756","3.1","23836","22482","1354","5.7","23440","22726","714","3","23708","23091","617","2.6","44849","83.100000000000009"
"01115","AL","St. Clair County, AL","3.5","41339","40158","1181","2.9","41421","39209","2212","5.3000000000000007","41602","40523","1079","2.6","42213","41285","928","2.2000000000000002","63015","116.7"
"01117","AL","Shelby County, AL","2.8","118217","115471","2746","2.2999999999999998","117987","113068","4919","4.2","119405","116886","2519","2.1","121349","119126","2223","1.8","85457","158.30000000000001"
"01119","AL","Sumter County, AL","5.8000000000000007","4835","4602","233","4.8000000000000007","4782","4417","365","7.6000000000000014","4549","4349","200","4.4000000000000004","4597","4435","162","3.5","29490","54.6"
"01121","AL","Talladega County, AL","4.3","36231","34921","1310","3.6","36454","33656","2798","7.7","35915","34460","1455","4.1000000000000014","36362","35239","1123","3.1","47331","87.7"
"01123","AL","Tallapoosa County, AL","4.1000000000000014","18746","18150","596","3.2","18214","16848","1366","7.5","17982","17271","711","4","17593","17091","502","2.9","47444","87.9"
"01125","AL","Tuscaloosa County, AL","3.6","106601","103555","3046","2.9","103837","96371","7466","7.2","101686","98093","3593","3.5","103432","100816","2616","2.5","56274","104.2"
"01127","AL","Walker County, AL","4.2","25553","24659","894","3.5","25225","23619","1606","6.4","25324","24423","901","3.6","25568","24864","704","2.8","46343","85.800000000000011"
"01129","AL","Washington County, AL","5.8000000000000007","6812","6475","337","4.9000000000000004","6823","6229","594","8.7000000000000011","6547","6248","299","4.6000000000000014","6565","6326","239","3.6","49795","92.2"
"01131","AL","Wilcox County, AL","9.5","2755","2548","207","7.5","2918","2453","465","15.9","2631","2356","275","10.5","2528","2331","197","7.8000000000000007","30071","55.7"
"01133","AL","Winston County, AL","4.2","10285","9924","361","3.5","10277","9748","529","5.1000000000000014","10116","9838","278","2.7","10271","10020","251","2.4","47176","87.4"
"02000","AK","Alaska","6","353161","333360","19801","5.6000000000000014","347150","318298","28852","8.3000000000000007","353158","330525","22633","6.4","356799","342400","14399","4","78437","100"
"02013","AK","Aleutians East Borough, AK","2.8","2552","2492","60","2.4","2513","2409","104","4.1000000000000014","2443","2382","61","2.5","2434","2386","48","2","71492","91.100000000000009"
"02016","AK","Aleutians West Census Area, AK","3.2","3646","3529","117","3.2","3835","3653","182","4.7","3516","3381","135","3.8","3480","3373","107","3.1","86050","109.7"
"02020","AK","Anchorage Borough/municipality, AK","5","148736","141891","6845","4.6000000000000014","147314","135690","11624","7.9","149953","141113","8840","5.9","151342","146302","5040","3.3","86152","109.8"
"02050","AK","Bethel Census Area, AK","11.9","7102","6257","845","11.9","6992","6132","860","12.3","6884","5984","900","13.1","6680","6091","589","8.8000000000000007","54849","69.900000000000006"
